Elapsed Time (ms),Package Energy (µJ),DRAM Energy (µJ),Temperature (C°),,,,
3999.319661,155850000,2350000,39.6666666666667,3.999319661,155.85,2.35,476
4039.127067,157750000,2390000,39.5,4.039127067,157.75,2.39,474
4002.057519,156950000,2360000,29.5,4.002057519,156.95,2.36,354
3996.426663,156790000,2360000,18.3333333333333,3.996426663,156.79,2.36,220
4002.938209,155560000,2360000,29.1666666666667,4.002938209,155.56,2.36,350
3997.948168,154280000,2360000,29.9166666666667,3.997948168,154.28,2.36,359
3997.460122,155730000,2360000,39.3333333333333,3.997460122,155.73,2.36,472
4002.582933,155890000,2360000,28.8333333333333,4.002582933,155.89,2.36,346
4047.790343,156780000,2390000,29.3333333333333,4.047790343,156.78,2.39,352
3987.921504,155340000,2350000,40.25,3.987921504,155.34,2.35,483
3981.736811,152070000,2340000,28.75,3.981736811,152.07,2.34,345
4018.343424,156960000,2370000,29.0833333333333,4.018343424,156.96,2.37,349
4013.374955,155370000,2370000,29.9166666666667,4.013374955,155.37,2.37,359
4029.415879,155730000,2390000,35,4.029415879,155.73,2.39,420
3998.995568,156480000,2360000,23.75,3.998995568,156.48,2.36,285
4027.723413,158040000,2390000,28.9166666666667,4.027723413,158.04,2.39,347
3992.39529,154560000,2350000,40,3.99239529,154.56,2.35,480
3989.256703,154250000,2360000,28.9166666666667,3.989256703,154.25,2.36,347
4058.054473,156670000,2400000,18.5,4.058054473,156.67,2.4,222
4015.460879,156830000,2370000,18.4166666666667,4.015460879,156.83,2.37,221
4074.330252,157230000,2420000,29.6666666666667,4.074330252,157.23,2.42,356
4038.507241,157580000,2390000,29,4.038507241,157.58,2.39,348
4034.916373,153570000,2380000,29,4.034916373,153.57,2.38,348
4041.603505,159140000,2400000,28.75,4.041603505,159.14,2.4,345
4009.321062,155410000,2360000,29.6666666666667,4.009321062,155.41,2.36,356
3983.187283,154180000,2340000,39.6666666666667,3.983187283,154.18,2.34,476
4010.868654,155750000,2360000,18.5,4.010868654,155.75,2.36,222
4003.722057,156980000,2370000,39.5,4.003722057,156.98,2.37,474
4031.409504,157300000,2390000,29,4.031409504,157.3,2.39,348
3992.208206,154670000,2350000,29.1666666666667,3.992208206,154.67,2.35,350
4003.544984,155760000,2360000,29.6666666666667,4.003544984,155.76,2.36,356
4009.735204,156980000,2360000,39.9166666666667,4.009735204,156.98,2.36,479
4006.221068,155970000,2360000,28.8333333333333,4.006221068,155.97,2.36,346
4000.504764,153500000,2350000,21.4166666666667,4.000504764,153.5,2.35,257
3985.886808,153160000,2350000,39.5,3.985886808,153.16,2.35,474
4001.831793,152720000,2350000,21.3333333333333,4.001831793,152.72,2.35,256
4011.317372,156270000,2360000,29.5,4.011317372,156.27,2.36,354
3997.473249,155390000,2350000,18.8333333333333,3.997473249,155.39,2.35,226
4004.687126,157020000,2360000,34.3333333333333,4.004687126,157.02,2.36,412
4000.220314,154930000,2370000,29.6666666666667,4.000220314,154.93,2.37,356
3995.011058,157090000,2360000,28.6666666666667,3.995011058,157.09,2.36,344
4023.446992,156100000,2370000,21,4.023446992,156.1,2.37,252
3999.200352,156970000,2360000,29.1666666666667,3.999200352,156.97,2.36,350
4022.695689,156410000,2380000,40.1666666666667,4.022695689,156.41,2.38,482
4014.423157,155160000,2370000,30.1666666666667,4.014423157,155.16,2.37,362
3997.138398,155640000,2360000,39.6666666666667,3.997138398,155.64,2.36,476
4010.039838,157330000,2360000,18.5,4.010039838,157.33,2.36,222
4035.24804,156040000,2390000,40.3333333333333,4.03524804,156.04,2.39,484
4015.804946,156350000,2370000,29.5,4.015804946,156.35,2.37,354
4015.673207,157420000,2370000,39.5,4.015673207,157.42,2.37,474
3980.792731,152710000,2340000,40.1666666666667,3.980792731,152.71,2.34,482
4063.339626,155940000,2400000,29.5833333333333,4.063339626,155.94,2.4,355
4008.77235,155060000,2370000,20.5833333333333,4.00877235,155.06,2.37,247
3995.956671,152570000,2350000,18.8333333333333,3.995956671,152.57,2.35,226
4002.474899,156090000,2370000,40.1666666666667,4.002474899,156.09,2.37,482
3992.909207,153710000,2350000,39.8333333333333,3.992909207,153.71,2.35,478
4001.419079,155220000,2360000,29.5,4.001419079,155.22,2.36,354
4023.873166,155640000,2390000,19,4.023873166,155.64,2.39,228
4019.26676,157330000,2370000,28.8333333333333,4.01926676,157.33,2.37,346
4018.428839,158340000,2380000,9.91666666666667,4.018428839,158.34,2.38,119
4001.160932,154260000,2350000,35.3333333333333,4.001160932,154.26,2.35,424
4001.525991,155340000,2350000,39.6666666666667,4.001525991,155.34,2.35,476
4032.17577,156280000,2380000,20.75,4.03217577,156.28,2.38,249
3992.938813,153540000,2340000,34.8333333333333,3.992938813,153.54,2.34,418
3984.44904,155410000,2350000,18.1666666666667,3.98444904,155.41,2.35,218
3989.710067,154180000,2360000,34.5,3.989710067,154.18,2.36,414
4008.094678,155630000,2360000,29.0833333333333,4.008094678,155.63,2.36,349
4017.739196,154980000,2360000,18.5,4.017739196,154.98,2.36,222
4017.440998,155880000,2370000,31.5,4.017440998,155.88,2.37,378
3999.590371,154700000,2360000,28.8333333333333,3.999590371,154.7,2.36,346
3993.11713,152290000,2350000,39.9166666666667,3.99311713,152.29,2.35,479
4036.567243,155420000,2380000,29.1666666666667,4.036567243,155.42,2.38,350
4003.788869,156470000,2360000,29.3333333333333,4.003788869,156.47,2.36,352
4046.995957,157580000,2380000,29.1666666666667,4.046995957,157.58,2.38,350
4001.711,157240000,2360000,18.1666666666667,4.001711,157.24,2.36,218
3983.718855,154010000,2350000,29.6666666666667,3.983718855,154.01,2.35,356
3995.532346,153140000,2360000,39.9166666666667,3.995532346,153.14,2.36,479
4041.792876,156040000,2380000,19.1666666666667,4.041792876,156.04,2.38,230
3973.862327,151780000,2340000,40,3.973862327,151.78,2.34,480
3999.033041,155900000,2360000,18.3333333333333,3.999033041,155.9,2.36,220
3989.711853,153560000,2350000,29.25,3.989711853,153.56,2.35,351
4002.880995,157300000,2360000,18.5,4.002880995,157.3,2.36,222
4017.961081,152490000,2370000,39.9166666666667,4.017961081,152.49,2.37,479
4013.209056,157110000,2370000,20.8333333333333,4.013209056,157.11,2.37,250
4026.932173,156680000,2380000,29.5,4.026932173,156.68,2.38,354
3985.616653,153400000,2340000,18.6666666666667,3.985616653,153.4,2.34,224
4027.605518,156110000,2370000,30,4.027605518,156.11,2.37,360
4000.131776,153690000,2350000,18.8333333333333,4.000131776,153.69,2.35,226
4015.835156,156060000,2370000,21,4.015835156,156.06,2.37,252
4034.037603,157470000,2380000,29.4166666666667,4.034037603,157.47,2.38,353
4008.017562,156110000,2360000,29.1666666666667,4.008017562,156.11,2.36,350
4009.612383,157610000,2370000,18,4.009612383,157.61,2.37,216
3990.768991,155420000,2350000,10.0833333333333,3.990768991,155.42,2.35,121
4015.730828,153720000,2360000,23.9166666666667,4.015730828,153.72,2.36,287
3992.419193,153190000,2360000,40.1666666666667,3.992419193,153.19,2.36,482
